"x" "y" "vegt" "nbr"
"275" 558220.053 1753210.089 2 7.65944873470198
"276" 558730.053 1753210.089 1 83.1757477502979
"277" 559240.053 1753210.089 2 3.20090089840312
"278" 559750.053 1753210.089 1 30.1728287390702
"279" 560260.053 1753210.089 1 24.8805308123287
"280" 560770.053 1753210.089 1 81.5200983805564
"281" 561280.053 1753210.089 1 205.277520495706
"282" 561790.053 1753210.089 1 254.653964765490
"283" 562300.053 1753210.089 0 483.176264269531
"284" 562810.053 1753210.089 1 264.813251129887
"285" 563320.053 1753210.089 1 241.087498993394
"286" 563830.053 1753210.089 0 209.025110729417
"287" 564340.053 1753210.089 1 31.3795419638468
"288" 564850.053 1753210.089 1 305.166941481881
"289" 565360.053 1753210.089 1 197.023721546854
"290" 565870.053 1753210.089 1 248.480981070268
"291" 566380.053 1753210.089 1 23.4284211813703
"292" 566890.053 1753210.089 1 -73.9363004068772
"293" 567400.053 1753210.089 1 -71.4879229902052
"294" 567910.053 1753210.089 1 -3.61647625087789
"295" 568420.053 1753210.089 1 -40.0428926416814
"296" 568930.053 1753210.089 1 82.8180165810488
"297" 569440.053 1753210.089 1 242.26292636732
"298" 569950.053 1753210.089 1 158.937218128673
"299" 570460.053 1753210.089 1 -65.8250858140302
"300" 570970.053 1753210.089 1 0.206237212695783
